Gene,object_SRR24886407,object_SRR24886411,object_SRR24886417,object_SRR24886420,object_SRR24886421,object_SRR24886422,Sum
FOG: CheY-like receiver,0,5,18,8,6,7,44
Chromosome (plasmid) partitioning protein ParA-1,3,4,10,12,9,5,43
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:54906:55994,1,4,5,10,7,16,43
Flagellar M-ring protein FliF,1,1,9,6,14,11,42
ATP-dependent protease La (EC 3.4.21.53) Type I,4,7,8,3,6,13,41
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:17654:17779,2,1,10,10,6,12,41
Translation initiation factor 3,4,2,11,6,12,6,41
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),2,1,11,8,9,9,40
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:33173:33505,3,6,10,4,8,9,40
GenBank:CDS:NODE-134215+-length-13172-cov-40.7238:3011:5419,2,2,8,15,5,8,40
Cell division protein FtsZ (EC 3.4.24.-),1,4,10,3,12,10,40
Isoleucyl-tRNA synthetase (EC 6.1.1.5),2,5,18,3,3,8,39
Lipoate synthase,2,4,8,13,6,4,37
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1),2,1,10,6,6,12,37
putative Cytochrome bd2%2C subunit II,2,3,5,6,9,12,37
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:28340:30901,2,1,8,12,8,6,37
Extracellular ligand-binding receptor,2,3,8,6,7,11,37
3-oxoacyl-[acyl-carrier-protein] synthase%2C KASII (EC 2.3.1.179),0,0,9,8,3,17,37
FIG005935: membrane protein-1,5,6,7,2,8,8,36
Alkaline protease secretion ATP-binding protein AprD,3,5,6,7,5,10,36
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:10603:14418,1,4,14,5,2,10,36
GenBank:CDS:NODE-257474+-length-11490-cov-19.6056:6052:9147,3,1,4,4,6,18,36
Alkylhydroperoxidase protein D,4,2,9,6,2,13,36
Single-stranded DNA-binding protein-2,1,7,2,3,11,11,35
Flagellar motor rotation protein MotA,2,4,8,5,3,13,35
Sodium/glutamate symport protein,4,4,3,4,2,18,35
Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24)%3B Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16),3,3,4,4,5,16,35
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),3,0,18,2,4,8,35
GenBank:CDS:NODE-134216+-length-6506-cov-39.8756:1217:2254,2,2,0,4,9,18,35
LSU ribosomal protein L6p (L9e),3,2,8,7,7,8,35
CarD-like transcriptional regulator,2,0,6,11,7,8,34
Fatty acid desaturase (EC 1.14.19.1)%3B Delta-9 fatty acid desaturase (EC 1.14.19.1),2,3,4,10,8,7,34
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4),1,1,9,4,3,16,34
Protease II (EC 3.4.21.83)-1,3,0,11,8,7,5,34
Metal-dependent hydrolase YbeY%2C involved in rRNA and/or ribosome maturation and assembly,4,4,8,5,7,6,34
SSU ribosomal protein S2p (SAe),2,2,7,5,0,18,34
ABC transporter substrate-binding protein,2,4,6,5,6,10,33
Coproporphyrinogen III oxidase%2C aerobic (EC 1.3.3.3),2,1,10,5,8,7,33
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),2,0,16,4,3,8,33
Ribonucleotide reductase of class Ia (aerobic)%2C alpha subunit (EC 1.17.4.1),0,2,9,2,4,16,33
Exodeoxyribonuclease III (EC 3.1.11.2)-1,0,1,0,11,15,6,33
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:892:1167,4,5,13,2,5,3,32
RNA polymerase sigma-54 factor RpoN,3,4,5,6,6,8,32
ATP-dependent Clp protease ATP-binding subunit ClpX,3,1,14,4,7,3,32
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:35883:36908,1,3,5,7,8,8,32
putative Cytochrome bd2%2C subunit I,1,3,9,5,7,7,32
Cell division protein FtsH (EC 3.4.24.-),1,4,12,4,6,5,32
Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23),1,4,6,3,8,10,32
GenBank:CDS:NODE-262015+-length-9397-cov-17.2548:954:1292,3,3,0,6,9,11,32
RecA protein,1,0,8,5,6,11,31
Apolipoprotein N-acyltransferase (EC 2.3.1.-) / Copper homeostasis protein CutE,3,2,5,9,7,5,31
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4),10,5,5,0,5,6,31
Excinuclease ABC subunit A,1,1,13,2,9,5,31
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:27104:28114,1,4,8,3,7,8,31
Heat shock protein 60 family chaperone GroEL,6,1,7,3,3,11,31
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),10,4,8,3,2,4,31
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14),2,0,12,5,6,5,30
LSU ribosomal protein L5p (L11e),2,2,16,3,5,2,30
Glutathione-regulated potassium-efflux system protein KefB,2,2,9,0,5,12,30
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),2,1,12,5,3,7,30
Superfamily I DNA and RNA helicases and helicase subunits,0,3,4,6,5,12,30
Secreted protein%2C suppressor for copper-sensitivity ScsC,1,4,10,7,4,3,29
Phosphatidylserine decarboxylase (EC 4.1.1.65),1,5,4,3,4,12,29
Thymidylate synthase thyX (EC 2.1.1.-),1,1,10,3,3,11,29
GenBank:CDS:NODE-86944+-length-11310-cov-19.5743:1134:1520,2,3,5,4,7,8,29
Leucyl-tRNA synthetase (EC 6.1.1.4),3,3,8,3,6,6,29
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:53228:53602,2,3,5,4,4,11,29
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:7581:7811,1,2,7,4,4,11,29
Pyruvate%2Cphosphate dikinase (EC 2.7.9.1),0,1,4,8,10,6,29
Flagellar basal-body rod protein FlgG,0,4,5,5,7,8,29
Signal recognition particle%2C subunit Ffh SRP54 (TC 3.A.5.1.1),2,1,14,4,3,4,28
ATP synthase delta chain (EC 3.6.3.14),3,0,15,2,3,5,28
Superoxide dismutase [Fe] (EC 1.15.1.1),1,3,8,2,5,9,28
Flagellar basal-body rod protein FlgF,1,1,5,8,6,7,28
SSU ribosomal protein S5p (S2e),1,1,15,2,3,5,27
ClpB protein,5,4,6,1,3,8,27
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:87498:88373,0,2,10,0,3,12,27
Transcription elongation factor GreA,0,6,5,5,3,8,27
SSU ribosomal protein S7p (S5e),2,0,9,3,7,5,26
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:17819:18787,1,0,13,2,6,4,26
Putative activity regulator of membrane protease YbbK,0,1,13,2,4,6,26
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:54426:55118,0,1,1,6,5,13,26
Conserved protein%2C with a weak D-galactarate dehydratase/altronate hydrolase domain-1,1,3,7,5,1,8,25
GenBank:CDS:NODE-303417+-length-25225-cov-18.6888:1459:2031,3,3,2,1,5,11,25
Flagellar motor rotation protein MotB,1,1,3,9,6,5,25
GTP-binding protein TypA/BipA,3,0,8,7,2,5,25
Flagellar motor switch protein FliM,1,2,9,5,3,5,25
GenBank:CDS:NODE-12499+-length-4723-cov-16.2279:3173:3877,2,5,3,1,9,5,25
Shikimate kinase I (EC 2.7.1.71) # AroE I,2,3,7,3,4,6,25
LSU ribosomal protein L7/L12 (P1/P2),1,0,5,5,4,10,25
Type I secretion outer membrane protein%2C TolC precursor,1,2,3,11,3,5,25
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),0,3,7,5,2,8,25
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:46282:46734,0,1,4,3,2,15,25
LSU ribosomal protein L1p (L10Ae),0,1,9,3,0,12,25
Peptide deformylase (EC 3.5.1.88)-1,1,6,8,1,3,5,24
Type I secretion membrane fusion protein%2C HlyD family,2,2,8,5,3,4,24
SSU ribosomal protein S13p (S18e),1,2,7,1,3,10,24
LSU ribosomal protein L13p (L13Ae),3,2,7,3,4,5,24
RNA polymerase sigma factor RpoD,0,3,5,3,2,11,24
GenBank:CDS:NODE-306799+-length-11862-cov-35.5935:3692:3901,0,1,13,2,2,6,24
GenBank:CDS:NODE-257474+-length-11490-cov-19.6056:72:1682,0,2,0,9,4,9,24
LSU ribosomal protein L3p (L3e),0,1,9,6,1,7,24
Putative stomatin/prohibitin-family membrane protease subunit YbbK,1,4,4,3,5,6,23
Replicative DNA helicase (EC 3.6.1.-),3,3,6,4,2,5,23
DNA-invertase-1,1,4,0,4,7,7,23
tRNA-Ser-TGA,1,0,6,2,7,7,23
SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e)%2C zinc-independent,2,2,10,4,2,3,23
LSU ribosomal protein L19p,3,2,6,4,5,3,23
Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5),0,3,7,3,1,9,23
Fumarate hydratase class II (EC 4.2.1.2),0,0,9,4,2,8,23
Iron-sulfur cluster assembly protein SufB,1,1,7,1,2,10,22
Chromosomal replication initiator protein DnaA,2,4,6,3,2,5,22
Flagellar hook protein FlgE,1,2,13,0,0,6,22
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:19787:20083,1,1,14,0,5,1,22
5-aminolevulinate synthase (EC 2.3.1.37),0,2,8,1,3,8,22
Ribonuclease E (EC 3.1.26.12),0,1,5,5,4,7,22
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),0,2,8,4,3,5,22
Ribosomal subunit interface protein,2,2,2,5,4,6,21
HflK protein,2,2,7,2,7,1,21
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1),3,5,3,1,0,9,21
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:39292:39693,3,0,5,1,2,10,21
Outer membrane and periplasm component of type IV secretion of T-DNA complex%2C has secretin-like domain%2C VirB9-1,1,2,2,1,7,8,21
FIG01016610: hypothetical protein,1,1,8,3,2,6,21
RelA/SpoT-related protein,0,3,4,2,4,8,21
HtrA protease/chaperone protein,2,1,2,4,6,5,20
COG0515: Serine/threonine protein kinase,1,3,2,4,4,6,20
GenBank:CDS:NODE-11581+-length-45870-cov-18.1412:31433:31882,2,4,8,1,1,4,20
Cold shock protein CspA-1,0,1,4,5,6,4,20
Single-stranded DNA-binding protein-1,0,2,3,3,5,7,20
Carboxyl-terminal protease (EC 3.4.21.102),0,3,1,2,6,8,20
Flagellar hook-associated protein FlgK,0,1,3,4,6,6,20
ATP-dependent hsl protease ATP-binding subunit HslU,0,1,6,3,4,6,20
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:42683:43903,0,1,4,4,5,6,20
Thioredoxin reductase (EC 1.8.1.9)-2,0,0,9,2,3,6,20
GTP pyrophosphokinase (EC 2.7.6.5)%2C (p)ppGpp synthetase II / Guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2),0,0,5,5,3,7,20
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:20068:21309,2,2,8,2,1,4,19
