Gene,object_SRR24886407,object_SRR24886411,object_SRR24886417,object_SRR24886420,object_SRR24886421,object_SRR24886422,Sum
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:14969:17533,0,4,4,0,0,4,12
Methionine aminopeptidase (EC 3.4.11.18),0,2,4,0,0,6,12
Alanine racemase (EC 5.1.1.1),0,1,6,2,1,2,12
Ribose 5-phosphate isomerase B (EC 5.3.1.6),0,2,3,0,2,5,12
LSU ribosomal protein L20p,0,1,3,2,2,4,12
Pantothenate kinase type III%2C CoaX-like (EC 2.7.1.33)-2,0,2,2,4,2,2,12
Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24),0,1,0,4,4,3,12
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-),0,4,2,1,3,2,12
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:9098:9637,0,0,7,0,1,4,12
Outer membrane protein H precursor,0,0,4,2,3,3,12
Lipoprotein releasing system ATP-binding protein LolD,0,0,5,2,2,3,12
Enolase (EC 4.2.1.11),1,0,5,2,1,2,11
Cold shock protein CspA-2,2,3,1,1,2,2,11
GenBank:CDS:NODE-303417+-length-25225-cov-18.6888:14092:14937,3,1,0,0,2,5,11
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:36925:37248,1,1,2,3,2,2,11
Fructose-1%2C6-bisphosphatase%2C GlpX type (EC 3.1.3.11),1,0,4,2,1,3,11
Magnesium and cobalt transport protein CorA,1,0,1,5,0,4,11
Phosphate regulon transcriptional regulatory protein PhoB (SphR),1,0,4,2,3,1,11
Seryl-tRNA synthetase (EC 6.1.1.11),3,1,5,0,1,1,11
Xaa-Pro aminopeptidase (EC 3.4.11.9),1,1,2,2,2,3,11
Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),1,0,1,0,4,5,11
Uroporphyrinogen III decarboxylase (EC 4.1.1.37),0,1,4,0,2,4,11
Putative periplasmic protein YibQ%2C distant homology with nucleoside diphosphatase and polysaccharide deacetylase,0,1,2,2,2,4,11
Transketolase (EC 2.2.1.1),0,1,7,2,0,1,11
L-Proline/Glycine betaine transporter ProP-4,0,1,5,0,2,3,11
Scaffold protein for [4Fe-4S] cluster assembly ApbC%2C MRP-like,0,1,4,0,4,2,11
DNA mismatch repair protein MutS,0,2,2,1,1,5,11
SSU ribosomal protein S6p,0,2,2,1,3,3,11
LSU ribosomal protein L11p (L12e),0,1,7,0,3,0,11
sodium-solute symporter%2C putative-2,0,0,3,3,2,3,11
2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase (EC 4.6.1.12),0,0,1,2,4,4,11
tRNA-Leu-TAA,0,0,1,1,4,5,11
DNA polymerase IV (EC 2.7.7.7),0,0,2,3,5,1,11
FIG000859: hypothetical protein YebC,0,0,4,2,1,4,11
SSU ribosomal protein S19p (S15e),0,0,3,2,1,5,11
Preprotein translocase secY subunit (TC 3.A.5.1.1),0,0,4,1,3,3,11
Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase (EC 2.3.1.129),0,0,5,0,5,1,11
Transcription termination protein NusA,0,0,2,4,2,3,11
Pyridoxine biosynthesis glutamine amidotransferase%2C synthase subunit (EC 2.4.2.-),0,0,5,0,3,3,11
DNA repair protein RecN,0,0,0,2,4,5,11
Periplasmic thiol:disulfide oxidoreductase DsbB%2C required for DsbA reoxidation,1,1,2,3,1,2,10
SSU ribosomal protein S15p (S13e),3,1,3,0,0,3,10
FIG137478: Hypothetical protein,3,1,6,0,0,0,10
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:41778:42476,1,1,5,0,1,2,10
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1),1,0,3,0,4,2,10
Phosphatidylglycerophosphatase A (EC 3.1.3.27),1,0,3,2,2,2,10
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3),1,0,3,1,2,3,10
Nucleoside diphosphate kinase (EC 2.7.4.6),1,0,6,2,0,1,10
ATP-dependent DNA helicase RecQ,3,1,2,0,0,4,10
LSU ribosomal protein L35p,1,2,2,2,2,1,10
tRNA-specific 2-thiouridylase MnmA,3,0,1,4,0,2,10
Peptide chain release factor 1,2,1,3,1,1,2,10
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:57239:57676,1,0,3,2,0,4,10
LSU ribosomal protein L31p @ LSU ribosomal protein L31p%2C zinc-independent,0,2,1,1,0,6,10
Peptidyl-prolyl cis-trans isomerase PpiD (EC 5.2.1.8),0,1,3,2,4,0,10
Preprotein translocase subunit YajC (TC 3.A.5.1.1),0,1,3,1,3,2,10
Sensory box histidine kinase/response regulator-1,0,1,3,3,0,3,10
LSU ribosomal protein L27p,0,1,3,0,2,4,10
INTERNALIN A,0,1,3,2,3,1,10
GenBank:CDS:NODE-126983+-length-10982-cov-16.8351:4531:4728,0,1,4,0,3,2,10
GenBank:CDS:NODE-172387+-length-8575-cov-38.122:6728:8155,0,2,4,0,0,4,10
NifU protein,0,2,5,0,1,2,10
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:37431:38318,0,1,1,5,2,1,10
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:6963:7433,0,2,0,3,4,1,10
GTP-binding protein Obg,0,0,7,0,2,1,10
SSU ribosomal protein S20p,0,0,4,4,2,0,10
21 kDa hemolysin precursor,0,0,0,4,5,1,10
GenBank:CDS:NODE-11581+-length-45870-cov-18.1412:1080:1406,0,0,0,2,5,3,10
SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase (EC 2.1.1.182),1,1,4,0,3,0,9
ATP synthase F0 sector subunit c (EC 3.6.3.14),1,1,3,0,0,4,9
2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase (EC 1.14.13.-)-1,1,0,2,2,0,4,9
Inner membrane protein of type IV secretion of T-DNA complex%2C VirB6-1,2,0,5,0,0,2,9
L-Proline/Glycine betaine transporter ProP-3,1,1,0,0,3,4,9
probable iron binding protein from the HesB-IscA-SufA family,3,1,1,0,0,4,9
GenBank:CDS:NODE-224277+-length-5923-cov-40.3374:3978:4379,1,0,3,1,0,4,9
Inositol-1-monophosphatase (EC 3.1.3.25),1,0,6,0,1,1,9
Flagellar L-ring protein FlgH,1,0,3,1,3,1,9
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),2,0,4,1,0,2,9
DNA polymerase I (EC 2.7.7.7),0,1,3,0,0,5,9
Predicted ABC transporter for tryptophane%2C permease protein TrpY,0,3,0,1,1,4,9
Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),0,1,4,1,1,2,9
LSU ribosomal protein L22p (L17e),0,1,4,0,2,2,9
GenBank:CDS:NODE-134215+-length-13172-cov-40.7238:333:728,0,1,2,0,2,4,9
Response regulator of zinc sigma-54-dependent two-component system,0,1,3,2,1,2,9
Lysyl-tRNA synthetase (class I) (EC 6.1.1.6),0,2,3,1,2,1,9
Alpha/beta hydrolase,0,0,3,1,0,5,9
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16),0,0,2,3,3,1,9
Endonuclease III (EC 4.2.99.18),0,0,5,2,0,2,9
ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex%2C VirB4-1,0,0,3,1,0,5,9
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),0,0,4,0,1,4,9
Chromosome (plasmid) partitioning protein ParA-2,0,0,2,3,3,1,9
Putative inner membrane protein,0,0,3,0,2,4,9
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),0,0,3,1,1,4,9
UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8),0,0,5,1,1,2,9
Outer membrane protein YfgL%2C lipoprotein component of the protein assembly complex (forms a complex with YaeT%2C YfiO%2C and NlpB),0,0,1,1,1,6,9
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),0,0,5,0,1,3,9
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:42374:42700,0,0,1,0,4,4,9
SSU ribosomal protein S8p (S15Ae),0,0,2,2,0,5,9
Cold shock protein CspA-4,0,0,3,0,2,4,9
Acyl carrier protein,0,0,2,1,2,4,9
Na+/H+ antiporter NhaA type,0,0,1,2,2,4,9
DNA topoisomerase I (EC 5.99.1.2),0,0,4,0,2,3,9
Flagellar basal-body P-ring formation protein FlgA,0,0,0,2,3,4,9
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),1,0,1,1,1,4,8
Protein-export membrane protein SecD (TC 3.A.5.1.1),1,1,3,1,1,1,8
Iron-sulfur cluster regulator IscR,1,1,4,0,1,1,8
Patatin-like protein-1,1,2,1,2,1,1,8
Mitochondrial processing peptidase-like protein (EC 3.4.24.64),1,2,1,0,2,2,8
Flagellar basal-body rod protein FlgC,1,1,2,1,1,2,8
Integrase /recombinase xerC,1,0,1,0,3,3,8
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:18579:20345,1,0,2,2,1,2,8
GTP-binding protein EngB,2,2,1,0,2,1,8
GenBank:CDS:NODE-11581+-length-45870-cov-18.1412:42975:43121,1,0,3,2,0,2,8
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:45354:46427,1,0,1,2,1,3,8
FIG061771: ATP-dependent nuclease subunit A,1,1,0,0,2,4,8
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8),0,2,0,2,0,4,8
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:5028:5303,0,1,3,0,2,2,8
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:18180:18344,0,1,0,1,2,4,8
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:31277:32413,0,2,1,1,1,3,8
ADP/ATP Translocase%2C NTT1,0,1,5,1,0,1,8
Dipeptidyl anminopeptidase,0,1,1,1,2,3,8
Nitrogen regulation protein NtrX,0,1,1,0,1,5,8
Rhodanese domain protein UPF0176,0,1,5,2,0,0,8
GenBank:CDS:NODE-56431+-length-17225-cov-14.94:8144:8932,0,1,2,1,3,1,8
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),0,2,1,0,5,0,8
Helicase PriA essential for oriC/DnaA-independent DNA replication,0,1,2,2,1,2,8
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:17275:17910,0,2,2,0,2,2,8
NADH:ubiquinone oxidoreductase 17.2 kD subunit,0,0,2,3,0,3,8
Biotin synthesis protein BioH,0,0,6,0,1,1,8
GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2),0,0,2,2,1,3,8
tRNA-Ala-TGC,0,0,7,0,0,1,8
4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),0,0,4,1,1,2,8
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:19242:19643,0,0,2,1,2,3,8
Serine hydroxymethyltransferase (EC 2.1.2.1),0,0,2,0,1,5,8
SSU ribosomal protein S17p (S11e),0,0,2,0,1,5,8
UDP-2%2C3-diacylglucosamine pyrophosphatase,0,0,3,1,1,3,8
SSU ribosomal protein S18p @ SSU ribosomal protein S18p%2C zinc-independent,0,0,4,1,1,2,8
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3),0,0,2,2,0,4,8
Prolyl-tRNA synthetase (EC 6.1.1.15)%2C bacterial type,0,0,4,2,0,2,8
GenBank:CDS:NODE-11581+-length-45870-cov-18.1412:12161:12358,0,0,4,0,1,3,8
S-adenosylmethionine synthetase (EC 2.5.1.6),0,0,3,3,1,1,8
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:59961:60539,0,0,1,3,2,2,8
Dihydropteroate synthase (EC 2.5.1.15),0,0,0,2,3,3,8
Arabinose 5-phosphate isomerase (EC 5.3.1.13),1,0,0,0,1,5,7
Deoxyribodipyrimidine photolyase (EC 4.1.99.3),1,2,1,0,0,3,7
Protocatechuate 3%2C4-dioxygenase beta chain (EC 1.13.11.3),1,1,3,1,1,0,7
IncW plasmid conjugative relaxase protein TrwC (TraI homolog),1,1,1,2,0,2,7
Cytochrome c-type biogenesis protein DsbD%2C protein-disulfide reductase (EC 1.8.1.8),1,0,0,1,5,0,7
Iron binding protein IscA for iron-sulfur cluster assembly,1,0,1,3,0,2,7
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-),1,2,2,0,0,2,7
Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-),1,0,4,0,1,1,7
GenBank:CDS:NODE-160236+-length-29045-cov-18.8637:976:1497,1,0,2,3,0,1,7
Ribonuclease HI (EC 3.1.26.4),1,2,1,0,2,1,7
2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase (EC 1.14.13.-)-2,1,0,2,1,1,2,7
Phosphoglycerate kinase (EC 2.7.2.3),2,0,2,2,1,0,7
GenBank:CDS:NODE-44067+-length-13992-cov-15.5263:13718:13930,0,2,1,0,1,3,7
Cell division protein FtsA,0,1,2,2,0,2,7
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:43462:43950,0,1,1,2,0,3,7
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205),0,1,3,1,0,2,7
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:15126:15413,0,2,0,0,2,3,7
Methionine ABC transporter ATP-binding protein-1,0,1,1,0,3,2,7
Histidyl-tRNA synthetase (EC 6.1.1.21),0,1,3,0,0,3,7
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2),0,1,2,0,2,2,7
dCMP deaminase (EC 3.5.4.12),0,2,4,0,0,1,7
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11),0,1,1,3,2,0,7
Hemolysin-type calcium binding protein,0,1,3,1,1,1,7
Outer membrane and periplasm component of type IV secretion of T-DNA complex%2C has secretin-like domain%2C VirB9-2,0,1,0,2,2,2,7
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:423:626,0,1,2,0,3,1,7
GTP-binding protein EngA,0,1,0,1,4,1,7
Translation initiation factor 1,0,0,1,3,2,1,7
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:21451:22860,0,0,2,2,1,2,7
Cysteine desulfurase (EC 2.8.1.7)%2C SufS subfamily,0,0,4,0,2,1,7
GenBank:CDS:NODE-44067+-length-13992-cov-15.5263:2826:3353,0,0,1,1,3,2,7
Cold shock protein CspA-3,0,0,2,0,4,1,7
tRNA-Met-CAT-1,0,0,2,3,1,1,7
tolB protein precursor%2C periplasmic protein involved in the tonb-independent uptake of group A colicins,0,0,3,2,0,2,7
Protein export cytoplasm chaperone protein (SecB%2C maintains protein to be exported in unfolded state),0,0,1,1,2,3,7
competence lipoprotein ComL%2C putative,0,0,3,1,0,3,7
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:43124:43237,0,0,2,2,3,0,7
DNA primase (EC 2.7.7.-),0,0,4,1,0,2,7
Ferrous iron transport protein B,0,0,1,1,1,4,7
tRNA-specific adenosine-34 deaminase (EC 3.5.4.-),0,0,5,0,1,1,7
Lipid A export ATP-binding/permease protein MsbA-3,0,0,0,3,2,2,7
sodium-solute symporter%2C putative-3,0,0,0,2,3,2,7
Cytochrome B561,0,0,0,1,0,6,7
Amino acid permease,0,0,0,0,2,5,7
RND multidrug efflux transporter%3B Acriflavin resistance protein,0,0,0,0,2,5,7
ATP synthase F0 sector subunit a,2,0,0,0,2,2,6
CblY%2C a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase,1,0,0,0,2,3,6
Thymidylate kinase (EC 2.7.4.9),3,0,2,1,0,0,6
Porphobilinogen synthase (EC 4.2.1.24),1,0,0,1,1,3,6
Alkyl hydroperoxide reductase subunit C-like protein,1,1,2,0,0,2,6
6%2C7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78),1,0,3,1,0,1,6
GenBank:CDS:NODE-134215+-length-13172-cov-40.7238:731:988,1,0,0,3,1,1,6
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3),1,0,1,2,1,1,6
Glutamate synthase [NADPH] small chain (EC 1.4.1.13),1,0,3,0,2,0,6
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:56751:57161,1,0,1,1,2,1,6
DNA repair protein RadA,1,0,0,2,0,3,6
Glutamyl-tRNA synthetase (EC 6.1.1.17),0,2,2,0,2,0,6
GenBank:CDS:NODE-219966+-length-19471-cov-16.8862:306:689,0,1,3,2,0,0,6
Iron-sulfur cluster assembly protein SufD,0,1,3,0,1,1,6
Cell division protein MraZ,0,1,2,0,2,1,6
Lipoprotein NlpD,0,1,2,0,0,3,6
Tyrosine-specific transport protein,0,2,0,1,0,3,6
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:6386:7018,0,2,2,0,1,1,6
Diaminopimelate epimerase (EC 5.1.1.7),0,1,3,1,0,1,6
Sensory box histidine kinase/response regulator-2,0,1,4,1,0,0,6
Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17),0,1,1,0,0,4,6
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3),0,1,1,3,1,0,6
Inner membrane protein translocase component YidC%2C long form,0,2,1,0,1,2,6
Surface lipoprotein,0,0,3,2,1,0,6
NADPH:quinone oxidoreductase,0,0,1,0,1,4,6
Thiol:disulfide oxidoreductase TlpA,0,0,4,1,0,1,6
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB4)-2,0,0,4,0,0,2,6
Cold-shock DEAD-box protein A,0,0,1,0,2,3,6
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1),0,0,3,0,3,0,6
Phosphate:acyl-ACP acyltransferase PlsX,0,0,3,1,2,0,6
RIKEN cDNA 2310005O14,0,0,2,0,2,2,6
LSU ribosomal protein L17p,0,0,4,0,1,1,6
tRNA-Gly-GCC,0,0,1,2,3,0,6
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39),0,0,3,1,2,0,6
Transaldolase (EC 2.2.1.2),0,0,2,1,0,3,6
C4-type zinc finger protein%2C DksA/TraR family,0,0,1,3,0,2,6
DNA polymerase III alpha subunit (EC 2.7.7.7),0,0,2,0,2,2,6
Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj,0,0,5,0,1,0,6
Ferrochelatase%2C protoheme ferro-lyase (EC 4.99.1.1),0,0,2,0,1,3,6
FIG000557: hypothetical protein co-occurring with RecR,0,0,1,3,1,1,6
tRNA-Glu-TTC,0,0,2,0,2,2,6
GenBank:CDS:NODE-236874+-length-45919-cov-16.6307:29900:30088,0,0,3,1,0,2,6
Outer membrane protein romA,0,0,4,1,1,0,6
Transcriptional regulator,0,0,1,2,1,2,6
DNA-binding response regulator PetR,0,0,3,0,2,1,6
Signal peptide peptidase A (SppA)%2C a serine protease,0,0,1,1,2,2,6
DNA polymerase III epsilon subunit (EC 2.7.7.7),0,0,1,1,0,4,6
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)%3B Propionyl-CoA carboxylase beta chain (EC 6.4.1.3),0,0,1,0,1,4,6
DNA repair protein RadC,0,0,3,2,0,1,6
tRNA-Cys-GCA,0,0,0,2,2,2,6
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:29265:31364,0,0,0,1,0,5,6
Inner membrane component of tripartite multidrug resistance system,0,0,0,2,3,1,6
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),1,0,3,1,0,0,5
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:69011:69586,1,0,1,0,2,1,5
Heat shock protein GrpE,2,0,1,0,1,1,5
GenBank:CDS:NODE-134216+-length-6506-cov-39.8756:3437:3631,1,0,0,2,2,0,5
Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3),1,0,2,1,0,1,5
Thioredoxin reductase (EC 1.8.1.9)-1,0,1,0,1,1,2,5
NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase,0,1,0,0,1,3,5
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:62715:63032,0,1,0,0,4,0,5
GenBank:CDS:NODE-12488+-length-6522-cov-48.9989:628:1725,0,1,2,0,1,1,5
ABC transporter permease protein,0,2,1,0,1,1,5
tRNA-Asp-GTC,0,1,1,1,1,1,5
Ribonuclease I precursor (EC 3.1.27.6),0,1,1,0,2,1,5
tRNA-Leu-TAG,0,1,1,1,1,1,5
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),0,1,2,1,0,1,5
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38),0,1,1,0,1,2,5
FIG053235: Diacylglucosamine hydrolase like,0,1,0,1,2,1,5
Putative permease often clustered with de novo purine synthesis,0,1,0,1,1,2,5
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:7765:8160,0,1,1,0,1,2,5
Alkyl hydroperoxide reductase and/or thiol-specific antioxidant family (AhpC/TSA) protein,0,1,2,0,0,2,5
Diaminopimelate decarboxylase (EC 4.1.1.20),0,1,2,0,1,1,5
DnaA regulatory inactivator Hda (Homologous to DnaA),0,1,2,2,0,0,5
Lipoprotein releasing system transmembrane protein LolC,0,1,1,1,1,1,5
sodium/alanine symporter family protein,0,1,2,0,1,1,5
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70),0,0,3,0,0,2,5
NAD kinase (EC 2.7.1.23),0,0,1,1,1,2,5
GenBank:CDS:NODE-44068+-length-28286-cov-17.8349:26166:26462,0,0,1,0,1,3,5
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:278:829,0,0,2,2,0,1,5
Uncharacterized ABC transporter%2C periplasmic component YrbD,0,0,2,1,1,1,5
PaaD-like protein (DUF59) involved in Fe-S cluster assembly,0,0,2,0,1,2,5
ATP-dependent DNA helicase UvrD/PcrA,0,0,3,1,1,0,5
L-Proline/Glycine betaine transporter ProP-2,0,0,4,0,1,0,5
Peptide deformylase (EC 3.5.1.88)-3,0,0,2,0,0,3,5
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:63043:63372,0,0,1,0,1,3,5
3-oxoacyl-[acyl-carrier-protein] synthase%2C KASIII (EC 2.3.1.180),0,0,4,0,0,1,5
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193),0,0,2,1,1,1,5
Transporter,0,0,2,0,0,3,5
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:74577:74714,0,0,1,1,0,3,5
Cytochrome c oxidase subunit CcoN (EC 1.9.3.1),0,0,1,0,1,3,5
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:40192:40536,0,0,2,2,1,0,5
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),0,0,2,0,0,3,5
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:6576:6737,0,0,2,1,1,1,5
Tyrosine recombinase XerC,0,0,1,0,3,1,5
Translation elongation factor LepA,0,0,1,0,3,1,5
LSU ribosomal protein L24p (L26e),0,0,1,3,0,1,5
Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),0,0,1,0,2,2,5
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:1542:1781,0,0,2,1,0,2,5
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:34800:35135,0,0,2,1,2,0,5
tRNA-Arg-TCT,0,0,1,1,0,3,5
Outer membrane lipoprotein,0,0,1,0,2,2,5
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3),0,0,1,0,3,1,5
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)-2,0,0,1,1,1,2,5
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),0,0,2,0,1,2,5
NADPH dependent preQ0 reductase (EC 1.7.1.13),0,0,2,1,2,0,5
proline/betaine transporter,0,0,0,1,1,3,5
tRNA-Leu-CAA,0,0,0,2,2,1,5
Membrane-bound lytic murein transglycosylase A precursor (EC 3.2.1.-),0,0,0,2,0,3,5
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:43721:46060,0,0,0,1,2,2,5
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:20493:21641,0,0,0,1,0,4,5
UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158),0,0,0,1,2,2,5
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),0,0,0,2,0,3,5
Arginyl-tRNA synthetase (EC 6.1.1.19),0,0,0,1,1,3,5
halomucin,0,0,0,0,3,2,5
LSU ribosomal protein L33p @ LSU ribosomal protein L33p%2C zinc-independent,0,0,0,0,2,3,5
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:16614:17105,0,0,0,0,0,5,5
Octaprenyl diphosphate synthase (EC 2.5.1.90) / Dimethylallyltransferase (EC 2.5.1.1) / (2E%2C6E)-farnesyl diphosphate synthase (EC 2.5.1.10) / Geranylgeranyl diphosphate synthase (EC 2.5.1.29),1,1,0,0,1,1,4
GenBank:CDS:NODE-184440+-length-9539-cov-40.5733:2798:3028,1,1,2,0,0,0,4
rRNA small subunit methyltransferase H,2,0,1,0,1,0,4
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:62379:62612,1,0,0,2,1,0,4
major facilitator family transporter,1,0,1,0,1,1,4
UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),1,0,0,1,1,1,4
Sulfate permease,3,0,0,0,0,1,4
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:33262:33696,1,0,1,0,1,1,4
ABC transporter%2C ATP-binding protein-3,1,0,3,0,0,0,4
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7),1,0,0,0,0,3,4
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:55841:56749,1,1,0,2,0,0,4
Ribosome-binding factor A,0,1,1,1,0,1,4
LSU ribosomal protein L21p,0,1,1,1,0,1,4
Biopolymer transport protein ExbD/TolR,0,2,1,0,0,1,4
GenBank:CDS:NODE-126567+-length-5425-cov-17.3795:563:769,0,1,0,0,2,1,4
2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1),0,1,0,0,2,1,4
GenBank:CDS:NODE-296156+-length-710-cov-46.4664:184:627,0,1,1,1,0,1,4
Ribonuclease III (EC 3.1.26.3),0,0,2,1,0,1,4
Small-conductance mechanosensitive channel,0,0,2,2,0,0,4
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),0,0,1,2,0,1,4
Pentapeptide repeat family protein,0,0,1,3,0,0,4
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:18690:19436,0,0,1,0,2,1,4
L-Proline/Glycine betaine transporter ProP-1,0,0,2,0,0,2,4
tRNA:m(5)U-54 MTase gid,0,0,2,1,0,1,4
DNA ligase (EC 6.5.1.2),0,0,1,1,0,2,4
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:8109:8999,0,0,3,1,0,0,4
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB4)-1,0,0,3,0,0,1,4
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-),0,0,3,0,1,0,4
DNA recombination and repair protein RecF,0,0,2,0,1,1,4
LSU ribosomal protein L32p,0,0,1,0,0,3,4
